,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
93152,1.17.3,3,True,True,FAST_SEAM,38.209,6,6,6,,0.34,4.452,-0.279,0.51,78.0,84.0
93153,1.17.4,4,True,True,FAST_SEAM,34.161,0,0,0,,0.615,7.507,-0.519,0.809,5.0,5.0
93154,1.17.5,5,True,True,FAST_SEAM,37.043,4,4,4,,0.795,9.743,-1.069,1.25,14.0,15.0
93156,1.18.1,1,True,True,FAST_SEAM,38.203,6,6,6,,0.007,5.216,0.099,0.539,16.0,76.0
93157,1.18.2,2,True,True,FAST_SEAM,38.507,0,0,0,,-0.213,4.941,0.45,0.523,68.0,30.0
93159,1.18.4,4,True,True,FAST_SEAM,34.534,0,0,0,,0.031,2.979,0.023,0.286,0.0,0.0
94247,1.13.3,3,True,True,LEG_SPIN,24.866,4,4,4,,0.317,2.222,-0.279,0.427,12.0,20.0
94248,1.13.4,4,True,True,LEG_SPIN,26.132,1,1,1,,-0.13,3.415,0.116,0.527,72.0,32.0
94250,1.13.6,6,True,True,LEG_SPIN,24.738,4,0,0,B,0.269,5.494,-0.357,0.673,42.0,7.0
94255,1.14.5,5,True,False,ORTHODOX,23.933,0,0,0,,0.256,6.106,-0.424,0.727,54.0,40.0
94256,1.14.6,6,True,False,ORTHODOX,23.518,4,4,4,,0.39,4.002,-0.626,0.691,38.0,8.0
94260,1.15.4,4,True,True,LEG_SPIN,22.794,1,0,1,Wd,0.831,4.814,-1.278,0.747,5.0,5.0
94261,1.15.5,4,True,True,LEG_SPIN,27.008,0,0,0,,0.019,4.913,0.034,0.54,33.0,30.0
94262,1.15.6,5,True,True,LEG_SPIN,22.756,1,1,1,,0.509,5.458,-0.952,0.806,18.0,48.0
94269,1.16.6,4,True,True,FAST_SEAM,38.721,2,2,2,,0.116,5.011,0.144,0.481,73.0,79.0
94270,1.16.7,5,True,True,FAST_SEAM,36.701,1,1,1,,0.376,8.656,-0.134,0.968,40.0,52.0
94275,1.17.4,4,True,True,FAST_SEAM,38.364,1,1,1,,0.461,1.384,-0.433,0.183,15.0,28.0
94277,1.17.6,6,True,True,FAST_SEAM,36.433,6,6,6,,0.405,9.223,0.059,0.993,92.0,65.0
94281,1.18.4,4,True,False,FAST_SEAM,38.08,1,1,1,,0.529,0.578,-0.57,0.089,13.0,38.0
94285,1.19.2,2,True,True,FAST_SEAM,39.566,0,0,0,,-0.012,0.46,0.034,0.082,0.0,0.0
95221,1.15.4,4,True,True,OFF_SPIN,24.458,2,2,2,,0.285,5.35,-0.021,0.598,83.0,36.0
95222,1.15.5,5,True,True,OFF_SPIN,26.633,1,1,1,,-0.009,2.9,0.008,0.71,37.0,70.0
95224,1.16.1,1,True,False,UNORTHODOX,-1.0,0,0,0,,-0.209,5.506,-0.121,0.62,0.0,0.0
95225,1.16.2,2,True,False,UNORTHODOX,23.335,1,1,1,,0.104,4.847,-0.094,0.515,26.0,68.0
95227,1.16.4,4,True,False,UNORTHODOX,21.017,1,1,1,,-0.269,6.054,-0.07,0.455,78.0,57.0
95231,1.17.2,2,True,True,LEG_SPIN,25.83,1,1,1,,0.374,4.194,-0.168,0.736,17.0,34.0
95235,1.17.6,6,True,True,LEG_SPIN,26.079,1,1,1,,0.302,5.109,-0.209,0.599,12.0,34.0
95236,1.18.1,1,True,True,OFF_SPIN,-1.0,0,0,0,,-0.27,3.031,0.433,0.351,0.0,0.0
95241,1.18.6,6,True,True,OFF_SPIN,25.607,4,4,4,,0.36,6.555,-0.296,0.511,3.0,61.0
95245,1.19.4,4,True,True,FAST_SEAM,38.351,2,1,2,Nb,0.261,6.025,-0.024,0.533,42.0,68.0
95247,1.19.6,5,True,True,FAST_SEAM,-1.0,2,2,2,,0.774,5.52,-0.77,0.623,37.0,75.0
95250,1.20.2,2,True,True,FAST_SEAM,39.738,2,2,2,,-0.383,12.399,-0.403,1.248,74.0,50.0
95251,1.20.3,3,True,True,FAST_SEAM,29.766,1,0,1,Wd,0.893,2.625,-1.173,0.325,0.0,0.0
95252,1.20.4,3,True,True,FAST_SEAM,29.372,1,0,1,Wd,0.758,5.182,-1.401,0.459,0.0,0.0
95253,1.20.5,3,True,True,FAST_SEAM,38.267,0,0,0,,-0.222,11.858,-0.635,1.557,0.0,0.0
95254,1.20.6,4,True,True,FAST_SEAM,29.739,1,0,1,Wd,0.96,4.774,-1.579,0.461,0.0,0.0
95255,1.20.7,4,True,True,FAST_SEAM,38.685,2,2,2,,0.555,4.527,-0.978,0.435,12.0,34.0
95256,1.20.8,5,True,True,FAST_SEAM,38.403,1,1,1,,0.351,4.085,-0.706,0.335,37.0,77.0
95257,1.20.9,6,True,True,FAST_SEAM,30.439,0,0,0,,0.544,5.162,-1.022,0.353,0.0,0.0
95781,2.5.4,4,True,True,MEDIUM_SEAM,38.625,1,1,1,,0.333,11.053,-0.192,1.19,68.0,21.0
95787,2.6.4,4,True,True,MEDIUM_SEAM,36.84,0,0,0,,0.597,8.036,-0.687,0.921,5.0,5.0
95788,2.6.5,5,True,True,MEDIUM_SEAM,38.366,0,0,0,,0.898,3.203,-0.883,0.379,5.0,5.0
95789,2.6.6,6,True,True,MEDIUM_SEAM,34.131,0,0,0,,0.56,6.368,-0.537,0.717,5.0,5.0
95791,2.7.2,2,True,True,MEDIUM_SEAM,30.658,1,0,1,Wd,-0.249,4.925,0.52,0.55,5.0,5.0
95792,2.7.3,2,True,True,MEDIUM_SEAM,38.042,1,0,1,Wd,0.32,13.234,0.163,2.253,5.0,5.0
95793,2.7.4,2,True,True,MEDIUM_SEAM,33.828,2,2,2,,0.295,6.129,-0.151,0.717,79.0,55.0
95794,2.7.5,3,True,True,MEDIUM_SEAM,38.289,1,1,1,,0.185,6.005,-0.025,0.637,66.0,36.0
95796,2.7.7,5,True,True,MEDIUM_SEAM,29.802,1,1,1,,0.62,10.046,-0.745,0.828,34.0,40.0
