,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
76332,4095,1.6.6,6,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,35.785,,4,4,4,,-0.057,8.576,0.306,1.048,59.0,6.0
76334,4095,1.7.2,2,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,35.591,,0,0,0,,-0.543,7.142,-0.219,0.797,39.0,38.0
76335,4095,1.7.3,3,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,31.514,,1,1,1,,-0.19,7.075,0.266,0.789,89.0,34.0
76337,4095,1.7.5,5,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,33.741,,1,0,1,Wd,-0.75,12.66,-0.926,1.802,5.0,5.0
76338,4095,1.7.6,5,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,35.668,,1,1,1,,-0.533,7.483,-0.342,0.733,13.0,41.0
76340,4095,1.8.1,1,Jos Buttler,509,True,Nitish Rana,2738,Shadab Jakati,10,False,SEAM,24.67,,1,1,1,,-0.137,6.553,0.046,0.81,62.0,81.0
76344,4095,1.8.5,5,Jos Buttler,509,True,Nitish Rana,2738,Shadab Jakati,10,False,SEAM,24.658,,2,2,2,,-0.191,7.61,0.059,0.745,77.0,71.0
76345,4095,1.8.6,6,Jos Buttler,509,True,Nitish Rana,2738,Shadab Jakati,10,False,SEAM,25.913,,1,1,1,,-0.28,3.211,-0.176,0.338,40.0,85.0
76346,4095,1.9.1,1,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,36.125,,4,4,4,,-0.751,8.852,-0.713,1.014,9.0,26.0
76347,4095,1.9.2,2,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,34.905,,1,1,1,,-0.567,7.241,-0.345,0.712,32.0,36.0
76349,4095,1.9.4,4,Jos Buttler,509,True,Nitish Rana,2738,Dwayne Smith,413,True,SEAM,33.559,,0,0,0,,-0.399,11.987,0.291,1.774,5.0,5.0
